date,time,co2_irga_northward_separation,co2_irga_eastward_separation,ch4_irga_northward_separation,ch4_irga_eastward_separation,canopy_height,master_sonic_height
2023-01-01,00:00,-6,20,-6,-25,0.10,2.65
2023-06-08,00:00,-6,20,-6,-25,0.21,2.65
2023-06-13,00:00,-6,20,-6,-25,0.21,2.65
2023-06-16,00:00,-6,20,-6,-25,0.25,2.65
2023-06-21,00:00,-6,20,-6,-25,0.33,2.65
2023-06-26,00:00,-6,20,-6,-25,0.47,2.65
2023-07-03,00:00,-6,20,-6,-25,0.77,2.65
2023-07-07,00:00,-6,20,-6,-25,0.87,2.65
2023-07-11,00:00,-6,20,-6,-25,1.02,2.65
2023-07-17,00:00,-6,20,-6,-25,1.47,2.65
2023-07-24,00:00,-6,20,-6,-25,1.62,2.65
2023-08-01,12:00,-6,20,-6,-25,1.98,3.45
2023-08-04,00:00,-6,20,-6,-25,2.04,3.45
2023-08-18,00:00,-6,20,-6,-25,2.41,3.45
2023-08-25,00:00,-6,20,-6,-25,2.96,3.45
2023-08-30,12:00,-6,20,-30,-20,3.10,4.55
2023-09-08,00:00,-6,20,-30,-20,3.72,4.55
